Top 5 Reachet,networth,birth year,company name
Jeff Bezos,$188.5B,57,Amazon
Elon Musk,$169.9B,49,Tesla
Benard Arnault,$163.7B,72,LVMH
Bill Gates,$129.2B,65,Microsoft
Mark Zuckerberg,$111.6B,36,Facebook
