0,1,2,3,4
Id,Name,Networth,Age,Company
1,Jeff Bezos,$188.5B,57,Amazon
2,Elon Musk,$169.9B,49,Tesla
3,Benard Arnault,$163.7B,72,LVMH
4,Bill Gates,$129.2B,65,Microsoft
5,Mark Zuckerberg,$111.6B,36,Facebook
